"","emp_length","state","homeownership","delinq_2y","months_since_last_delinq","earliest_credit_line","inquiries_last_12m","total_credit_lines","open_credit_lines","total_credit_limit","total_credit_utilized","num_collections_last_12m","num_historical_failed_to_pay","months_since_90d_late","current_accounts_delinq","total_collection_amount_ever","current_installment_accounts","accounts_opened_24m","months_since_last_credit_inquiry","num_satisfactory_accounts","num_active_debit_accounts","total_debit_limit","num_total_cc_accounts","num_open_cc_accounts","num_cc_carrying_balance","num_mort_accounts","account_never_delinq_percent","tax_liens","public_record_bankrupt","loan_purpose","application_type","loan_amount","term","interest_rate","installment","grade","sub_grade","issue_month","loan_status","initial_listing_status","disbursement_method","balance","income_final","verification_final","debt_to_income_final"
"1",3,"NJ","MORTGAGE",0,38,2001,6,28,10,70795,38767,0,0,38,0,1250,2,5,5,10,2,11100,14,8,6,1,92.9,0,0,"moving","individual",28000,60,14.07,652.53,"C","C3",Mar 2018,"Current","whole","Cash",27015.86,90000,"Verified",18.01
"2",10,"HI","RENT",0,0,1996,1,30,14,28800,4321,0,1,0,0,0,0,11,8,14,3,16500,24,14,4,0,100,0,1,"debt_consolidation","individual",5000,36,12.61,167.54,"C","C1",Feb 2018,"Current","whole","Cash",4651.37,40000,"Not Verified",5.04
"3",3,"WI","RENT",0,28,2006,4,31,10,24193,16000,0,0,28,0,432,1,13,7,10,3,4300,14,8,6,0,93.5,0,0,"other","individual",2000,36,17.09,71.4,"D","D1",Feb 2018,"Current","fractional","Cash",1824.63,40000,"Source Verified",21.15
"4",1,"PA","RENT",0,0,2007,0,4,4,25400,4997,0,1,0,0,0,1,1,15,4,2,19400,3,3,2,0,100,1,0,"debt_consolidation","individual",21600,36,6.72,664.19,"A","A3",Jan 2018,"Current","whole","Cash",18853.26,30000,"Not Verified",10.16
"5",10,"CA","RENT",0,0,2008,7,22,16,69839,52722,0,0,0,0,0,1,6,4,16,10,32700,20,15,13,0,100,0,0,"credit_card","joint",23000,36,14.07,786.87,"C","C3",Mar 2018,"Current","whole","Cash",21430.15,57000,"Verified",37.66
"6",0,"KY","OWN",1,3,1990,6,32,12,42100,3898,0,0,60,0,0,0,2,5,12,1,27200,27,12,5,3,78.1,0,0,"other","individual",5000,36,6.72,153.75,"A","A3",Jan 2018,"Current","whole","Cash",4256.71,34000,"Not Verified",6.46
"7",10,"MI","MORTGAGE",0,0,2004,1,12,10,291852,18916,0,0,0,0,0,2,1,9,10,3,9100,8,7,6,2,100,0,0,"credit_card","joint",24000,60,13.59,553.35,"C","C2",Jan 2018,"Current","whole","Cash",22560,155000,"Not Verified",13.12
"8",10,"AZ","MORTGAGE",1,19,2005,1,30,15,342336,60805,0,0,71,0,0,2,4,7,15,5,22250,16,12,10,7,93,0,0,"debt_consolidation","individual",20000,60,11.99,444.79,"B","B5",Jan 2018,"Current","whole","Cash",19005.39,110000,"Source Verified",16.19
"9",10,"NV","MORTGAGE",1,18,1998,3,35,21,283190,69561,0,0,18,0,0,6,10,4,21,11,36700,19,14,14,2,97.1,0,0,"home_improvement","individual",20000,36,13.59,679.58,"C","C2",Feb 2018,"Current","whole","Cash",18156.66,65000,"Source Verified",36.48
"10",3,"IL","RENT",0,0,2001,0,9,6,33114,17768,0,0,0,0,0,1,5,17,6,3,14700,7,5,3,0,100,0,0,"credit_card","individual",6400,36,6.71,196.77,"A","A3",Mar 2018,"Current","fractional","Cash",6077.13,30000,"Not Verified",18.91
"11",10,"IL","MORTGAGE",0,50,1996,4,22,10,39433,22895,0,1,0,0,0,2,6,3,10,2,5000,16,8,5,2,94.1,0,1,"debt_consolidation","individual",25000,60,15.04,595.28,"C","C4",Mar 2018,"Current","whole","Cash",24143.51,75000,"Verified",10.45
"12",2,"FL","MORTGAGE",0,0,2000,4,26,10,450371,55939,0,0,0,0,0,1,7,4,10,2,9000,15,8,3,3,92,0,0,"other","individual",40000,60,9.92,848.31,"B","B2",Mar 2018,"Current","whole","Cash",38434.2,91900,"Source Verified",1.82
"13",5,"SC","MORTGAGE",0,37,1990,8,32,12,263800,43686,0,0,37,0,31245,2,11,1,12,3,12100,20,9,5,3,84.4,0,0,"debt_consolidation","individual",16000,36,13.59,543.67,"C","C2",Feb 2018,"Current","whole","Cash",14525.3,122000,"Source Verified",12.06
"14",10,"CO","MORTGAGE",0,44,1984,6,65,21,259915,14387,0,0,0,0,0,0,7,0,21,4,70800,53,20,6,3,98.4,0,0,"credit_card","individual",17000,60,9.43,356.46,"B","B1",Feb 2018,"Current","whole","DirectPay",16326.13,88000,"Source Verified",3.67
"15",10,"FL","MORTGAGE",1,6,2006,0,22,10,74042,26483,0,1,6,0,0,3,4,14,10,2,3600,17,7,2,1,90.9,0,1,"debt_consolidation","individual",3000,36,19.03,110.02,"D","D3",Jan 2018,"Current","whole","Cash",2744.21,17000,"Verified",33.98
"16",10,"TN","MORTGAGE",0,0,1995,0,21,11,136815,75552,0,0,0,0,0,3,1,0,11,3,39700,10,8,3,2,100,0,0,"credit_card","individual",20000,60,19.03,519.15,"D","D3",Feb 2018,"Current","whole","Cash",19172.64,60000,"Not Verified",38.46
"17",3,"NV","MORTGAGE",0,77,2003,4,21,9,375092,93016,0,0,0,0,0,3,8,2,9,2,15800,7,5,3,2,95.2,0,0,"credit_card","individual",12000,60,19.03,311.49,"D","D3",Jan 2018,"Current","whole","Cash",11374.52,60000,"Not Verified",31.22
"18",3,"NV","RENT",0,37,2006,6,12,6,58911,54947,0,0,37,0,0,2,3,2,6,1,2500,5,4,2,0,91.7,0,0,"debt_consolidation","individual",30000,60,28.72,947.15,"F","F1",Jan 2018,"Current","whole","Cash",28798.08,72000,"Source Verified",20.33
"19",10,"IL","MORTGAGE",0,0,2003,2,18,7,322046,73705,0,0,0,0,0,4,6,2,7,2,17500,6,2,2,5,100,0,0,"medical","individual",5000,36,26.77,203.51,"E","E5",Feb 2018,"Fully Paid","fractional","Cash",0,210000,"Verified",9.53
"20",1,"CA","MORTGAGE",3,14,2005,1,11,6,555154,39482,0,0,22,0,0,1,1,8,6,3,8300,7,4,3,2,63.6,0,0,"debt_consolidation","individual",20000,60,15.05,476.33,"C","C4",Jan 2018,"Fully Paid","whole","Cash",0,83000,"Source Verified",18.44
"21",10,"KY","MORTGAGE",0,0,2003,0,13,9,70313,18128,0,0,0,0,0,2,4,13,9,2,18800,7,6,4,1,100,0,0,"credit_card","individual",7000,36,6.08,213.21,"A","A2",Jan 2018,"Current","fractional","Cash",6102.23,50000,"Not Verified",15.6
"22",1,"NV","MORTGAGE",0,0,1991,4,19,9,272403,47575,0,1,0,0,0,3,5,5,9,3,10100,7,5,5,1,100,0,1,"credit_card","joint",10000,36,11.98,332.05,"B","B5",Mar 2018,"Current","whole","Cash",9296.37,95000,"Source Verified",16.12
"23",5,"NJ","MORTGAGE",0,0,2002,1,64,17,566384,151251,0,0,0,0,150,7,10,6,17,3,26200,22,8,6,6,100,0,0,"debt_consolidation","individual",21050,60,13.59,485.34,"C","C2",Feb 2018,"Current","whole","Cash",20045.3,1e+05,"Not Verified",26.53
